latitude,longitude,depth,time,year,month,day,hour,magnitude,rolling_mean_magnitude,time_since_last_hour,closest_eq_time,closest_eq_index,distance_to_closest_eq,time_diff_to_closest_eq
41.0027,83.7142,10.0,2024-10-16 18:55:47.018000+00:00,2024,10,16,18,4.2,4.39,3.4543169444444444,2012-06-29 21:07:33.860000+00:00,744,281.94959523569685,4491.908485625
39.8853,78.6109,10.0,2024-10-14 18:50:30.005000+00:00,2024,10,14,18,4.4,4.38,48.08805916666667,1972-01-15 20:21:48.820000+00:00,2092,42.20589204516327,19265.93658778935
41.2017,84.0018,10.0,2024-10-13 01:01:40.036000+00:00,2024,10,13,1,4.1,4.34,41.813880277777784,2012-06-29 21:07:33.860000+00:00,744,254.44424267456034,4488.162571481482
41.4242,84.0677,10.0,2024-09-23 11:20:22.419000+00:00,2024,9,23,11,4.5,4.359999999999999,469.68822694444447,2012-06-29 21:07:33.860000+00:00,744,229.12508189507975,4468.5922286921295
41.2425,78.3988,14.195,2024-09-13 17:32:15.617000+00:00,2024,9,13,17,4.3,4.36,233.80188944444444,2024-01-22 18:09:04.340000+00:00,280,21.42222715023572,234.97443607638888
41.1021,78.3906,12.691,2024-09-03 15:47:00.523000+00:00,2024,9,3,15,4.3,4.38,241.7541927777778,2024-01-22 18:09:04.340000+00:00,280,27.891805855787492,224.90134471064812
40.3134,83.257,10.386,2024-09-01 23:16:09.633000+00:00,2024,9,1,23,4.3,4.35,40.514136111111114,1969-02-11 22:08:54.870000+00:00,2129,353.808615101474,20291.046698645834
41.3869,78.7316,10.0,2024-08-21 21:14:38.083000+00:00,2024,8,21,21,4.4,4.340000000000001,266.02543055555554,2024-01-22 18:09:04.340000+00:00,280,15.981064366643288,212.12886276620372
41.3526,78.698,11.836,2024-08-18 10:21:50.360000+00:00,2024,8,18,10,4.6,4.4,82.87992305555555,2024-01-22 18:09:04.340000+00:00,280,11.401521754735487,208.67553263888888
41.4836,83.7559,10.0,2024-08-10 15:16:44.843000+00:00,2024,8,10,15,4.2,4.33,187.08486583333334,2012-06-29 21:07:33.860000+00:00,744,230.0422528749063,4424.756377118056
40.0938,77.2986,10.0,2024-08-06 01:32:31.780000+00:00,2024,8,6,1,3.9,4.3,109.73696194444445,2020-01-19 13:27:56.630000+00:00,485,32.98320297669492,1660.5031846064815
40.0362,76.5286,10.0,2024-07-24 03:31:19.397000+00:00,2024,7,24,3,4.3,4.289999999999999,310.02010638888885,1996-03-19 15:00:26.090000+00:00,1571,15.075355576977506,10353.5214503125
43.4043,84.8074,10.0,2024-07-20 18:10:06.103000+00:00,2024,7,20,18,4.9,4.37,81.35369277777778,2012-06-29 21:07:33.860000+00:00,744,9.263854452707118,4403.876762071759
40.3424,77.1066,46.484,2024-07-20 02:07:34.866000+00:00,2024,7,20,2,4.2,4.34,16.042010277777777,1996-03-19 15:00:26.090000+00:00,1571,52.235431094726344,10349.463296018519
41.6325,82.4601,10.0,2024-07-11 00:49:16.634000+00:00,2024,7,11,0,4.3,4.34,217.30506444444444,2003-12-01 01:38:31.960000+00:00,1094,213.83618047773757,7527.965794837964
40.1118,77.7976,10.0,2024-06-20 11:36:08.905000+00:00,2024,6,20,11,5.0,4.41,493.2188136111111,1961-04-01 15:18:28.370000+00:00,2158,28.53336645574429,23090.845608043983
43.4438,81.4695,10.0,2024-06-16 04:15:54.012000+00:00,2024,6,16,4,4.4,4.42,103.33747027777777,2003-12-01 01:38:31.960000+00:00,1094,98.01119155163079,7503.109283009259
40.9307,78.2248,10.0,2024-05-26 22:19:58.905000+00:00,2024,5,26,22,4.3,4.409999999999999,485.9319741666667,2024-01-22 18:09:04.340000+00:00,280,50.992201564780245,125.17424265046296
41.7527,82.5409,10.0,2024-05-23 20:17:49.782000+00:00,2024,5,23,20,4.1,4.36,74.03586750000001,2003-12-01 01:38:31.960000+00:00,1094,210.38324090366638,7479.777289606482
41.7192,82.5801,10.0,2024-05-23 17:38:25.544000+00:00,2024,5,23,17,4.4,4.38,2.6567327777777776,2003-12-01 01:38:31.960000+00:00,1094,215.24834063537685,7479.666592407408
41.7698,82.6371,10.0,2024-05-23 16:11:13.478000+00:00,2024,5,23,16,4.2,4.41,1.4533516666666666,2003-12-01 01:38:31.960000+00:00,1094,215.59363100084764,7479.606036087963
41.7796,82.5397,10.0,2024-05-23 16:05:56.477000+00:00,2024,5,23,16,4.4,4.42,0.08805583333333333,2003-12-01 01:38:31.960000+00:00,1094,208.47172031166568,7479.602367094907
41.7961,82.4921,10.0,2024-05-23 14:30:12.278000+00:00,2024,5,23,14,4.8,4.41,1.5956108333333332,2003-12-01 01:38:31.960000+00:00,1094,204.2192833005597,7479.5358833101845
41.5624,78.9548,10.0,2024-05-20 18:31:33.451000+00:00,2024,5,20,18,4.3,4.42,67.97745194444444,1987-01-24 08:09:21.300000+00:00,1815,30.530653665771133,13631.432085081018
40.1736,76.9561,29.068,2024-05-20 05:10:23.334000+00:00,2024,5,20,5,5.1,4.5,13.352810277777778,1996-03-19 15:00:26.090000+00:00,1571,29.90407466584178,10288.59024587963
42.8331,79.0969,16.058,2024-05-06 04:12:58.429000+00:00,2024,5,6,4,4.3,4.43,336.95691805555555,1978-03-24 21:05:48.200000+00:00,2004,40.14001750880349,16844.296646168983
41.6974,82.7139,10.0,2024-05-01 23:09:14.316000+00:00,2024,5,1,23,4.2,4.41,101.06225361111112,2003-12-01 01:38:31.960000+00:00,1094,225.52999699499415,7457.896323564814
40.9159,78.3477,10.0,2024-05-01 19:17:24.224000+00:00,2024,5,1,19,4.3,4.41,3.8639144444444447,2024-01-22 18:09:04.340000+00:00,280,45.64989415112673,100.04745236111111
41.3998,78.9988,5.963,2024-04-28 11:31:09.039000+00:00,2024,4,28,11,4.3,4.43,79.77088472222222,1969-02-11 22:08:54.870000+00:00,2129,25.803158524697984,20164.5571084375
41.2772,78.4461,10.0,2024-04-25 09:24:44.454000+00:00,2024,4,25,9,4.4,4.430000000000001,74.10682916666667,2024-01-22 18:09:04.340000+00:00,280,17.570400383830226,93.63588094907408
